"id","sequence","active","name","phone","schedule","address","city"
"__export__.js_website_vimenpaq_office_477_64a24de0","10","True","Santo Domingo. Oficina Principal","(809) 532-7388","Lun-Vier. 07:30am,09:00pm
Sáb. 08:00am - 04:00pm","Ave. Winston Churchill No. 5 esq. Bolívar. La Julia.","Santo Domingo"
"__export__.js_website_vimenpaq_office_478_876446f4","10","True","Santo Domingo. Remesas Vimenca Lincoln","(809) 487-2364","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am,12:00pm","Ave. Abraham Lincoln No. 306, La Julia.","Santo Domingo"
"__export__.js_website_vimenpaq_office_479_ced35854","10","True","Santo Domingo. Plaza Sambil","(809) 475-3870","Lun-Vier. 10:00am - 07:00pm
Sáb. 10:00am - 02:00pm","Ave. John F. Kennedy esq. Máximo Gómez, Nivel Acuario Local AC54","Santo Domingo"
"__export__.js_website_vimenpaq_office_480_63580ad0","10","True","Santiago. Oficina Principal","(809) 582-2338","Lun-Vier. 08:00am – 07:00pm
Sáb. 08:00am – 02:00pm","C/ Independencia No. 30 casi esq. Juan Pablo Duarte. Al lado Banco Vimenca","Santiago"
"__export__.js_website_vimenpaq_office_481_d028be44","10","True","Santo Domingo. Plaza Luperón","(809) 740-0130","Lun-Vier. 09:00am - 06:00pm
Sáb. 09:00am - 01:00pm","Av. Independencia esq. Ave. Luperón ","Santo Domingo"
"__export__.js_website_vimenpaq_office_482_52fbeddc","10","True","La Romana. Plaza Lama","(809) 813-4240","Lun-Vier. 09:00 am,07:00 pm
Sáb. 09:00 am,01:00 pm","Calle Francisco Richiez No. 60 esq. Fray Juan de Utrera . Plaza Lama","La Romana"
"__export__.js_website_vimenpaq_office_483_76c53f65","10","True","Santo Domingo. Herrera, Plaza Jean Luis","(809) 537-5447","Lun-Vier. 09:00am – 06:00pm
Sáb. 09:00am – 01:00pm","Ave. 27 de Febrero No. 1300, Plaza Jean Luis","Santo Domingo"
"__export__.js_website_vimenpaq_office_484_aea8038b","10","True","Santo Domingo. Supermercado Nacional Arroyo Hondo","(809) 566-9862","Lun-Vier. 08:00am – 09:00pm
Sáb. 09:00am – 04:00pm","Av. Camino Chiquito Esq. Reyes Católicos, dentro del Supermercado Nacional","Santo Domingo"
"__export__.js_website_vimenpaq_office_485_d7595c7b","10","True","Santo Domingo. Cristo Rey, Farmacia Karen","(809) 566-3420","Lun-Vie. 08:00am – 08:00pm
Sáb. 08:00am – 08:00pm","Ave. Nicolás de Ovando No. 396","Santo Domingo"
"__export__.js_website_vimenpaq_office_486_97ecd156","10","True","Santo Domingo. Sabana perdida","(809) 568-0811 / (809)568-8007","Lun-Vier. 08:00am – 06:00pm
Sáb. 08:00am – 06:00pm","Ave. Restauradores esquina C/ 13","Santo Domingo"
"__export__.js_website_vimenpaq_office_487_96c3b4dd","10","True","Santo Domingo. Plaza Megacentro","(809) 592-6515","Lun-Vier. 09:00am – 07:00pm
Sáb. 09:00am – 01:00pm","Ave. San Vicente de Paul esq. Carretera Mella.","Santo Domingo"
"__export__.js_website_vimenpaq_office_488_b028ce10","10","True","Santo Domingo. Villa Mella, Plaza Buena Vista I","(809) 332-9231","Lun-Vier. 09:00am – 06:00pm
Sáb. 09:00am – 01:00pm","Av. Hnas. Mirabal No. 449 Local 05","Santo Domingo"
"__export__.js_website_vimenpaq_office_489_0a93bca2","10","True","Santo Domingo. Los Frailes, Hipermercado Olé","(809) 598-8658","Lun-Vier. 09:00am – 06:00pm
Sáb. 09:00am – 01:00pm","C/ Miramar Norte esq. Marginal, Km 10","Santo Domingo"
"__export__.js_website_vimenpaq_office_490_028c7378","10","True","Santo Domingo. Los Trinitarios","(809) 788-7488","Lun-Vier. 08:00am – 05:00pm
Sáb. 09:00am – 01:00pm","Ave. Charles de Gaulle #50. Urb. Los Trabajadores","Santo Domingo"
"__export__.js_website_vimenpaq_office_491_49a664cb","10","True","Santiago. Supermercado Nacional, Estrella Sadhalá","(809) 226-0691","Lun-Vier. 10:00am – 07:00pm
Sáb. 10:00am – 02:00pm","Avenida Estrella Sadhalá esq. 27 de Febrero","Santiago"
"__export__.js_website_vimenpaq_office_492_bb6ce4eb","10","True","Bonao","(809) 525-6115","Lun-Vier. 08:00am – 06:00pm
Sáb. 08:00am – 06:00pm","Calle Padre Meriño No. 10 esq. Sánchez","Bonao"
"__export__.js_website_vimenpaq_office_493_befb1828","10","True","Puerto Plata","(809) 586-4022 / (809) 586-3883","Lun-Vier. 08:00am – 05:00pm
Sáb. 08:00am – 05:00pm","Ave. Luis Ginebra No. 02. Plaza Juan Brugal","Puerto Plata"
"__export__.js_website_vimenpaq_office_494_adda3e54","10","True","San Pedro de Macorís","(809) 526-6356","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 02:00pm","Calle Alejo Martínez No. 13","San Pedro de Macorís"
"__export__.js_website_vimenpaq_office_495_cdad2265","10","True","Sosúa","(809) 571-3800","Lun-Vier. 08:00am – 05:00pm
Sáb. 08:00am – 05:00pm","C/ Duarte No. 2 Edif.Bommarito. El Batey. Sosúa","Sosúa"
"__export__.js_website_vimenpaq_office_496_6f50ca15","10","True","Sirena. Autopista Duarte","(809) 372-1559","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Aut. Duarte Km. 13 ½","Sirena"
"__export__.js_website_vimenpaq_office_497_44ab3257","10","True","San Francisco de Macorís","(809) 588-8844","Lun-Vier. 08:00am - 05:00pm
Sáb. 08:00am - 05:00pm","C/ 27 de Febrero esq. Padre Billini No. 24","San Francisco de Macorís"
"__export__.js_website_vimenpaq_office_498_e853135e","10","True","Plaza Lama Máximo Gómez","(809) 567-3785","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 09:00pm
Dom. 09:00am - 05:00pm","Ave. Máximo Gómez esq. Nicolás de Ovando","Plaza Lama Máximo Gómez"
"__export__.js_website_vimenpaq_office_499_9f771b97","10","True","Punta Cana","(809) 959-0261","Lun-Vier. 08:00am – 05:00pm
Sáb. 08:00am – 12:00pm","Carretera Aeropuerto Punta Cana, Plaza Bolera local 5 y 6, Punta Cana Village.","Punta Cana"
"__export__.js_website_vimenpaq_office_500_0d509c14","10","True","Santo Domingo. Las Américas","(809) 592-5661","Lun-Vier. 08:00am - 06:00pm
Sáb. 08:00am - 06:00pm","Autopista Las Américas No. 4 Ens. Ozama","Santo Domingo"
"__export__.js_website_vimenpaq_office_501_a6b2c234","10","True","Barahona","(809) 524-3500","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm
Dom. 09:00am - 05:00pm","C/ María Montez No. 19 casi esq. Luis E. Del Monte.","Barahona"
"__export__.js_website_vimenpaq_office_502_50e0a358","10","True","Olé Duarte Norte","(809) 538-9421","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm
Dom. 09:00am - 05:00pm","Ave. Duarte No.194 esq. Manuela Diez, Villa Consuelo","Olé Duarte Norte"
"__export__.js_website_vimenpaq_office_503_46e8e226","10","True","Plaza Lama Duarte Sur","(809) 221-7167","Lun-Vier. 08:00am - 07:00pm
Sáb. 08:00am - 07:00pm
Dom. 09:00am - 05:00pm","Ave. Duarte No .78 esq. Barahona, Villa Francisca","Plaza Lama Duarte Sur"
"__export__.js_website_vimenpaq_office_504_00ba942e","10","True","Santiago. La Sirena, Bartolomé Colón","(809) 582-4320","Lun-Vier. 08:00am - 09:00pm
Sáb. 08:00am - 08:00pm
Dom. 09:00am - 05:00pm","C/ Bartolomé Colón esquina Germán Soriano","Santiago. La Sirena, Bartolomé Colón"
